r	exp	calc	diff
1	-0.649396	-0.521819	-0.127577
1.01	-0.663366	-0.593109	-0.070257
1.02	-0.68571	-0.664977	-0.020733
1.03	-0.716068	-0.736269	0.020201
1.04	-0.753785	-0.805812	0.052027
1.05	-0.797919	-0.872447	0.074528
1.06	-0.847275	-0.93507	0.087795
1.07	-0.900438	-0.992663	0.092225
1.08	-0.955828	-1.04434	0.088512
1.09	-1.01176	-1.08935	0.07759
1.1	-1.0665	-1.12716	0.06066
1.11	-1.11835	-1.15741	0.03906
1.12	-1.16571	-1.17999	0.01428
1.13	-1.20715	-1.19498	-0.01217
1.14	-1.24148	-1.20272	-0.03876
1.15	-1.2678	-1.20374	-0.06406
1.16	-1.28555	-1.19879	-0.08676
1.17	-1.29453	-1.1888	-0.10573
1.18	-1.29494	-1.17482	-0.12012
1.19	-1.28737	-1.15803	-0.12934
1.2	-1.27277	-1.13967	-0.1331
1.21	-1.25246	-1.12099	-0.13147
1.22	-1.22801	-1.10324	-0.12477
1.23	-1.20126	-1.08758	-0.11368
1.24	-1.1742	-1.07506	-0.09914
1.25	-1.14888	-1.0666	-0.08228
1.26	-1.12733	-1.0629	-0.06443
1.27	-1.11149	-1.06446	-0.04703
1.28	-1.10309	-1.07155	-0.03154
1.29	-1.10359	-1.08419	-0.0194
1.3	-1.11407	-1.10215	-0.01192
1.31	-1.13521	-1.12496	-0.01025
1.32	-1.16724	-1.15192	-0.01532
1.33	-1.20986	-1.18214	-0.02772
1.34	-1.26231	-1.21457	-0.04774
1.35	-1.32333	-1.24803	-0.0753
1.36	-1.3912	-1.28124	-0.10996
1.37	-1.46382	-1.31292	-0.1509
1.38	-1.53876	-1.34178	-0.19698
1.39	-1.61336	-1.36662	-0.24674
1.4	-1.68483	-1.38633	-0.2985
1.41	-1.75034	-1.39998	-0.35036
1.42	-1.80715	-1.4068	-0.40035
1.43	-1.85273	-1.40628	-0.44645
1.44	-1.88484	-1.39813	-0.48671
1.45	-1.90163	-1.38229	-0.51934
1.46	-1.90176	-1.35898	-0.54278
1.47	-1.88439	-1.32863	-0.55576
1.48	-1.84928	-1.29192	-0.55736
1.49	-1.79679	-1.24968	-0.54711
1.5	-1.72787	-1.20288	-0.52499
1.51	-1.64402	-1.15261	-0.49141
1.52	-1.54724	-1.09999	-0.44725
1.53	-1.43995	-1.0461	-0.39385
1.54	-1.32488	-0.99198	-0.3329
1.55	-1.20497	-0.938522	-0.266448
1.56	-1.08325	-0.886436	-0.196814
1.57	-0.962654	-0.8362	-0.126454
1.58	-0.845957	-0.788021	-0.057936
1.59	-0.735594	-0.741801	0.006207
1.6	-0.633561	-0.697122	0.063561
1.61	-0.541307	-0.65324	0.111933
1.62	-0.459653	-0.609086	0.149433
1.63	-0.388732	-0.563291	0.174559
1.64	-0.327958	-0.51422	0.186262
1.65	-0.276027	-0.460014	0.183987
1.66	-0.230946	-0.398649	0.167703
1.67	-0.190092	-0.328006	0.137914
1.68	-0.150302	-0.245944	0.095642
1.69	-0.10799	-0.150382	0.042392
1.7	-0.0592832	-0.0393817	-0.0199015
1.71	-0.000177459	0.0887667	-0.088944159
1.72	0.0732951	0.235463	-0.1621679
1.73	0.164894	0.401722	-0.236828
1.74	0.277996	0.588103	-0.310107
1.75	0.415436	0.794654	-0.379218
1.76	0.579351	1.02087	-0.441519
1.77	0.771054	1.26565	-0.494596
1.78	0.990931	1.5273	-0.536369
1.79	1.23836	1.80354	-0.56518
1.8	1.51169	2.0915	-0.57981
1.81	1.80821	2.38779	-0.57958
1.82	2.12419	2.68853	-0.56434
1.83	2.455	2.98943	-0.53443
1.84	2.79512	3.2859	-0.49078
1.85	3.13837	3.57311	-0.43474
1.86	3.47802	3.84612	-0.3681
1.87	3.80702	4.1	-0.29298
1.88	4.11814	4.32993	-0.21179
1.89	4.40426	4.53132	-0.12706
1.9	4.65854	4.69995	-0.04141
1.91	4.87463	4.83204	0.04259
1.92	5.04687	4.92438	0.12249
1.93	5.17051	4.97441	0.1961
1.94	5.24178	4.98026	0.26152
1.95	5.25811	4.94088	0.31723
1.96	5.21812	4.85599	0.36213
1.97	5.12174	4.72615	0.39559
1.98	4.9702	4.55274	0.41746
1.99	4.76596	4.33793	0.42803
2	4.5127	4.08465	0.42805
2.01	4.21518	3.79652	0.41866
2.02	3.87911	3.47776	0.40135
2.03	3.51095	3.13311	0.37784
2.04	3.1178	2.76771	0.35009
2.05	2.7071	2.38699	0.32011
2.06	2.28651	1.99655	0.28996
2.07	1.86361	1.60201	0.2616
2.08	1.44576	1.20892	0.23684
2.09	1.03984	0.822616	0.217224
2.1	0.652158	0.448089	0.204069
2.11	0.2882	0.0899146	0.1982854
2.12	-0.0474276	-0.247859	0.2004314
2.13	-0.351118	-0.561786	0.210668
2.14	-0.620316	-0.849079	0.228763
2.15	-0.853546	-1.10765	0.254104
2.16	-1.05039	-1.33613	0.28574
2.17	-1.21146	-1.53387	0.32241
