r	calc	exp	diff
1	-0.57137	-0.6494	-0.07802
1.01	-0.64141	-0.66337	-0.02196
1.02	-0.70964	-0.68571	0.02393
1.03	-0.77503	-0.71607	0.05896
1.04	-0.83663	-0.75379	0.08284
1.05	-0.89359	-0.79792	0.09567
1.06	-0.94524	-0.84728	0.09797
1.07	-0.99104	-0.90044	0.0906
1.08	-1.03062	-0.95583	0.07479
1.09	-1.06381	-1.01176	0.05205
1.1	-1.09062	-1.0665	0.02412
1.11	-1.11125	-1.11835	-0.0071
1.12	-1.12605	-1.16571	-0.03966
1.13	-1.13553	-1.20715	-0.07162
1.14	-1.14033	-1.24148	-0.10115
1.15	-1.14121	-1.2678	-0.12659
1.16	-1.13898	-1.28555	-0.14657
1.17	-1.13451	-1.29453	-0.16002
1.18	-1.12868	-1.29494	-0.16626
1.19	-1.12235	-1.28737	-0.16502
1.2	-1.11633	-1.27277	-0.15644
1.21	-1.11134	-1.25246	-0.14112
1.22	-1.10802	-1.22801	-0.11999
1.23	-1.10687	-1.20126	-0.09439
1.24	-1.10826	-1.1742	-0.06594
1.25	-1.11242	-1.14888	-0.03646
1.26	-1.11943	-1.12733	-0.0079
1.27	-1.12924	-1.11149	0.01775
1.28	-1.14165	-1.10309	0.03856
1.29	-1.15634	-1.10359	0.05275
1.3	-1.17292	-1.11407	0.05885
1.31	-1.1909	-1.13521	0.05569
1.32	-1.20975	-1.16724	0.04251
1.33	-1.22889	-1.20986	0.01903
1.34	-1.24778	-1.26231	-0.01453
1.35	-1.26587	-1.32333	-0.05746
1.36	-1.28267	-1.3912	-0.10853
1.37	-1.29776	-1.46382	-0.16606
1.38	-1.3108	-1.53876	-0.22796
1.39	-1.32154	-1.61336	-0.29182
1.4	-1.3298	-1.68483	-0.35503
1.41	-1.33552	-1.75034	-0.41482
1.42	-1.3387	-1.80715	-0.46845
1.43	-1.33943	-1.85273	-0.5133
1.44	-1.33782	-1.88484	-0.54702
1.45	-1.33403	-1.90163	-0.5676
1.46	-1.32821	-1.90176	-0.57355
1.47	-1.32047	-1.88439	-0.56392
1.48	-1.31088	-1.84928	-0.53841
1.49	-1.29941	-1.79679	-0.49738
1.5	-1.28592	-1.72787	-0.44195
1.51	-1.27016	-1.64402	-0.37386
1.52	-1.25169	-1.54724	-0.29555
1.53	-1.22994	-1.43995	-0.21001
1.54	-1.20415	-1.32488	-0.12073
1.55	-1.17342	-1.20497	-0.03155
1.56	-1.13666	-1.08325	0.05341
1.57	-1.0927	-0.96265	0.13005
1.58	-1.04023	-0.84596	0.19427
1.59	-0.97788	-0.73559	0.24228
1.6	-0.90424	-0.63356	0.27068
1.61	-0.81795	-0.54131	0.27665
1.62	-0.7177	-0.45965	0.25804
1.63	-0.60229	-0.38873	0.21356
1.64	-0.47072	-0.32796	0.14276
1.65	-0.32221	-0.27603	0.04618
1.66	-0.15625	-0.23095	-0.0747
1.67	0.02733	-0.19009	-0.21742
1.68	0.22835	-0.1503	-0.37865
1.69	0.44625	-0.10799	-0.55424
1.7	0.68004	-0.05928	-0.73932
1.71	0.92833	-1.77459E-4	-0.92851
1.72	1.18931	0.0733	-1.11602
1.73	1.46077	0.16489	-1.29588
1.74	1.74012	0.278	-1.46213
1.75	2.02444	0.41544	-1.60901
1.76	2.31051	0.57935	-1.73116
1.77	2.5949	0.77105	-1.82384
1.78	2.87398	0.99093	-1.88304
1.79	3.14405	1.23836	-1.90569
1.8	3.40139	1.51169	-1.8897
1.81	3.64233	1.80821	-1.83412
1.82	3.86335	2.12419	-1.73916
1.83	4.06115	2.455	-1.60615
1.84	4.2327	2.79512	-1.43758
1.85	4.37536	3.13837	-1.23699
1.86	4.48687	3.47802	-1.00885
1.87	4.56546	3.80702	-0.75844
1.88	4.60986	4.11814	-0.49172
1.89	4.61932	4.40426	-0.21506
1.9	4.59364	4.65854	0.0649
1.91	4.53318	4.87463	0.34145
1.92	4.4388	5.04687	0.60807
1.93	4.3119	5.17051	0.85861
1.94	4.15436	5.24178	1.08742
1.95	3.96845	5.25811	1.28966
1.96	3.75686	5.21812	1.46126
1.97	3.52257	5.12174	1.59917
1.98	3.2688	4.9702	1.7014
1.99	2.99897	4.76596	1.76699
2	2.71656	4.5127	1.79614
2.01	2.42514	4.21518	1.79004
2.02	2.12818	3.87911	1.75093
2.03	1.82909	3.51095	1.68186
2.04	1.53109	3.1178	1.58671
2.05	1.23718	2.7071	1.46992
2.06	0.95012	2.28651	1.33639
2.07	0.67235	1.86361	1.19126
2.08	0.40597	1.44576	1.03979
2.09	0.15276	1.03984	0.88708
2.1	-0.08586	0.65216	0.73802
2.11	-0.30884	0.2882	0.59704
2.12	-0.51546	-0.04743	0.46803
2.13	-0.70531	-0.35112	0.35419
2.14	-0.87831	-0.62032	0.25799
2.15	-1.03463	-0.85355	0.18108
2.16	-1.17468	-1.05039	0.12429
2.17	-1.29907	-1.21146	0.08761
2.18	-1.40857	-1.33831	0.07026
2.19	-1.50406	-1.4333	0.07076
2.2	-1.5865	-1.49954	0.08696
2.21	-1.65688	-1.54069	0.1162
2.22	-1.71623	-1.5608	0.15543
2.23	-1.76551	-1.56417	0.20134
2.24	-1.80565	-1.55518	0.25047
2.25	-1.8375	-1.53811	0.29939
2.26	-1.86181	-1.51702	0.34479
2.27	-1.87923	-1.49558	0.38365
2.28	-1.89029	-1.47698	0.41331
2.29	-1.89542	-1.46383	0.43159
2.3	-1.89492	-1.45809	0.43683
2.31	-1.88899	-1.46104	0.42795
2.32	-1.87773	-1.47324	0.40449
2.33	-1.86118	-1.49458	0.3666
2.34	-1.83928	-1.52427	0.31501
2.35	-1.81195	-1.56096	0.25099
2.36	-1.77905	-1.60277	0.17629
2.37	-1.74047	-1.64739	0.09308
2.38	-1.69605	-1.69224	0.00381
2.39	-1.6457	-1.7345	-0.0888
2.4	-1.58935	-1.77131	-0.18196
2.41	-1.527	-1.79985	-0.27285
2.42	-1.45868	-1.81745	-0.35877
2.43	-1.38454	-1.8217	-0.43716
2.44	-1.30479	-1.81055	-0.50576
2.45	-1.21974	-1.78239	-0.56265
2.46	-1.12979	-1.73607	-0.60628
2.47	-1.03543	-1.67101	-0.63558
2.48	-0.93725	-1.58717	-0.64992
2.49	-0.83592	-1.48504	-0.64912
2.5	-0.73219	-1.36569	-0.6335
2.51	-0.62688	-1.23066	-0.60378
2.52	-0.52089	-1.08197	-0.56108
2.53	-0.41516	-0.92203	-0.50687
2.54	-0.31066	-0.75355	-0.44289
2.55	-0.2084	-0.5795	-0.3711
2.56	-0.1094	-0.403	-0.29359
2.57	-0.01468	-0.22721	-0.21253
2.58	0.07477	-0.05528	-0.13004
2.59	0.15796	0.10975	-0.04822
2.6	0.23398	0.26501	0.03103
2.61	0.30195	0.40791	0.10596
2.62	0.36107	0.53617	0.1751
2.63	0.41064	0.64786	0.23722
2.64	0.45001	0.74143	0.29142
2.65	0.47868	0.81577	0.3371
2.66	0.49622	0.87019	0.37396
2.67	0.50236	0.90438	0.40203
2.68	0.49692	0.91849	0.42157
2.69	0.47985	0.91298	0.43313
2.7	0.45124	0.88869	0.43745
2.71	0.4113	0.84673	0.43543
2.72	0.36036	0.78846	0.4281
2.73	0.29887	0.71543	0.41656
2.74	0.2274	0.62931	0.40191
2.75	0.14661	0.53188	0.38527
2.76	0.05726	0.4249	0.36764
2.77	-0.0398	0.31016	0.34996
2.78	-0.14368	0.18934	0.33301
2.79	-0.2534	0.06403	0.31743
2.8	-0.36797	-0.06429	0.30367
2.81	-0.48635	-0.19434	0.29202
2.82	-0.60753	-0.32497	0.28256
2.83	-0.73049	-0.45524	0.27524
2.84	-0.85421	-0.58437	0.26984
2.85	-0.97775	-0.71175	0.266
2.86	-1.10019	-0.83691	0.26328
2.87	-1.2207	-0.95954	0.26116
2.88	-1.3385	-1.07941	0.25909
2.89	-1.4529	-1.19638	0.25652
2.9	-1.56331	-1.31037	0.25294
2.91	-1.66922	-1.42132	0.2479
2.92	-1.77022	-1.52917	0.24105
2.93	-1.86598	-1.63382	0.23216
2.94	-1.95629	-1.73514	0.22115
2.95	-2.04102	-1.83295	0.20807
2.96	-2.1201	-1.92697	0.19313
2.97	-2.19358	-2.0169	0.17668
2.98	-2.26153	-2.10233	0.1592
2.99	-2.32413	-2.18282	0.14131
3	-2.38156	-2.25791	0.12365
3.01	-2.43407	-2.32709	0.10698
3.02	-2.48194	-2.38989	0.09205
3.03	-2.52545	-2.4459	0.07955
3.04	-2.56492	-2.49475	0.07017
3.05	-2.60063	-2.53622	0.06441
3.06	-2.63289	-2.5702	0.06269
3.07	-2.66199	-2.59678	0.06521
3.08	-2.6882	-2.6162	0.072
3.09	-2.71176	-2.62895	0.08281
3.1	-2.73289	-2.63571	0.09718
3.11	-2.7518	-2.6374	0.1144
3.12	-2.76865	-2.6351	0.13355
3.13	-2.78359	-2.63012	0.15347
3.14	-2.79673	-2.62391	0.17282
3.15	-2.80818	-2.618	0.19018
3.16	-2.81801	-2.61403	0.20398
3.17	-2.82627	-2.61361	0.21266
3.18	-2.83301	-2.61832	0.21469
3.19	-2.83826	-2.62959	0.20867
3.2	-2.84203	-2.64867	0.19336
3.21	-2.84433	-2.67655	0.16778
3.22	-2.84516	-2.71392	0.13125
3.23	-2.84452	-2.76108	0.08344
3.24	-2.84238	-2.81791	0.02447
3.25	-2.83873	-2.88387	-0.04514
3.26	-2.83354	-2.95791	-0.12437
3.27	-2.82676	-3.03856	-0.2118
3.28	-2.81835	-3.12387	-0.30552
3.29	-2.80824	-3.21151	-0.40327
3.3	-2.79636	-3.29874	-0.50238
3.31	-2.78261	-3.38258	-0.59997
