,bond length,anion,icohp
0,1.82032,O,-5.5313300000000005
1,1.82513,O,-5.38927
2,1.81924,O,-5.49035
3,1.8444,O,-5.06727
4,1.73947,O,-7.00129
5,1.86535,O,-4.793329999999999
6,1.84511,O,-5.04376
7,1.95765,O,-3.62648
8,1.86535,O,-4.79332
9,1.95766,O,-3.62642
10,1.84511,O,-5.04374
11,1.84442,O,-5.06709
12,1.81922,O,-5.49055
13,1.73947,O,-7.00129
14,1.82032,O,-5.5313099999999995
15,1.82513,O,-5.3893699999999995
16,2.04845,F,-2.40071
17,1.96403,F,-2.95395
18,1.96459,F,-2.96463
19,2.02964,F,-2.51068
20,1.9462,F,-3.13213
21,1.94691,F,-3.1308499999999997
22,2.03357,F,-2.49059
23,2.02835,F,-2.54955
24,1.95166,F,-3.08161
25,1.9483,F,-3.14444
26,1.91927,F,-3.3793100000000003
27,1.92054,F,-3.35358
28,2.02969,F,-2.42401
29,2.03877,F,-2.51615
30,2.02642,F,-2.56722
31,1.99304,F,-2.8359
32,2.03877,F,-2.51615
33,1.99304,F,-2.8359
34,2.02643,F,-2.56719
35,1.94691,F,-3.13086
36,1.9462,F,-3.13213
37,2.02835,F,-2.54957
38,2.03357,F,-2.49054
39,1.9483,F,-3.14443
40,1.95166,F,-3.08161
41,2.02968,F,-2.4240500000000003
42,1.92054,F,-3.35358
43,1.91927,F,-3.3793100000000003
44,2.04845,F,-2.4007199999999997
45,2.02964,F,-2.51071
46,1.96458,F,-2.96468
47,1.96404,F,-2.9539
48,1.73312,O,-7.08308
49,1.79599,O,-6.023630000000001
50,1.95996,O,-3.6746
51,1.96443,O,-3.51931
52,1.73633,O,-7.014799999999999
53,1.97626,O,-3.51164
54,1.78905,O,-6.14009
55,1.96014,O,-3.56546
56,1.89112,O,-4.4048300000000005
57,1.81898,O,-5.57104
58,2.11504,O,-2.4756400000000003
59,1.94712,O,-3.94818
60,1.9437,O,-3.97926
61,2.11122,O,-2.48882
62,1.95437,O,-3.7746
63,2.05872,O,-2.8451
64,1.95882,F,-3.0317499999999997
65,1.95956,F,-3.02808
66,1.95208,F,-3.14438
67,1.95163,F,-3.14316
68,1.97641,F,-2.77413
69,1.98423,F,-2.7461
70,1.87286,F,-3.8951599999999997
71,1.87112,F,-3.91272
72,1.86999,F,-3.9275599999999997
73,1.87158,F,-3.90846
74,1.87553,F,-3.80488
75,1.88343,F,-3.7313
76,1.9255,F,-3.34409
77,1.92194,F,-3.3611500000000003
78,1.96599,F,-2.98164
79,1.96565,F,-2.98252
80,2.01651,F,-2.49405
81,2.03922,F,-2.40534
82,2.03982,F,-2.40329
83,2.0087,F,-2.6977700000000002
84,1.95807,F,-3.0496
85,1.95805,F,-3.05375
86,1.92245,F,-3.35166
87,1.92643,F,-3.3373
88,2.02129,F,-2.46326
89,2.03792,F,-2.4145
90,2.03725,F,-2.41732
91,2.00598,F,-2.71908
92,1.99709,F,-2.73211
93,1.99502,F,-2.7455100000000003
94,1.99423,F,-2.75629
95,1.99883,F,-2.7230499999999997
96,1.80468,O,-5.74848
97,1.85839,O,-4.89035
98,1.72354,O,-7.25497
99,1.8811,O,-4.72678
100,1.88319,O,-4.66134
101,1.96219,O,-3.52541
102,1.80323,O,-5.7904
103,1.80699,O,-5.6585
104,1.76079,O,-6.5607299999999995
105,1.8628,O,-4.76549
106,1.88908,O,-4.470750000000001
107,1.75771,O,-6.5084
108,1.98811,O,-3.56418
109,1.98524,O,-3.6314
110,1.93999,O,-3.8217
111,1.90173,O,-4.19292
112,1.89488,F,-3.66164
113,1.89489,F,-3.63844
114,1.91966,F,-3.43128
115,1.92532,F,-3.36102
116,2.01486,F,-2.5909
117,1.89115,F,-3.6923
118,1.89115,F,-3.67387
119,1.88154,F,-3.80968
120,1.87757,F,-3.82219
121,2.00884,F,-2.67442
122,1.91413,F,-3.42638
123,1.91413,F,-3.40877
124,1.98572,F,-2.80437
125,1.9908,F,-2.80928
126,1.99306,F,-2.6399
127,2.02479,F,-2.5025
128,2.01673,F,-2.56294
129,2.00802,F,-2.6795
130,1.99698,F,-2.69072
131,1.99699,F,-2.716
132,2.06307,F,-2.31924
133,2.02231,F,-2.52644
134,1.99612,F,-2.69153
135,1.99612,F,-2.70878
136,2.04616,F,-2.37717
137,2.01678,F,-2.61291
138,1.96927,F,-2.90308
139,1.96927,F,-2.92172
140,2.04924,F,-2.46891
141,2.01354,F,-2.5483700000000002
142,2.04496,F,-2.49142
143,2.01784,F,-2.60008
144,1.79513,O,-5.7572600000000005
145,1.8197,O,-5.3346800000000005
146,1.79513,O,-5.75786
147,1.8197,O,-5.33525
148,1.83618,O,-5.09975
149,1.83865,O,-5.06139
150,1.94429,O,-3.9261
151,1.94426,O,-3.96995
152,1.93377,O,-3.8688000000000002
153,1.94316,O,-3.81219
154,1.83618,O,-5.09924
155,1.83863,O,-5.0607500000000005
156,1.94425,O,-3.9687900000000003
157,1.9443,O,-3.92554
158,1.93377,O,-3.86846
159,1.94317,O,-3.81126
160,1.90654,F,-3.6280799999999997
161,1.90653,F,-3.6169900000000004
162,1.9487,F,-3.1243499999999997
163,1.94871,F,-3.1624800000000004
164,1.96702,F,-2.8629499999999997
165,1.88334,F,-3.8764700000000003
166,1.88334,F,-3.8455500000000002
167,1.94781,F,-3.1335100000000002
168,1.94782,F,-3.16341
169,1.96991,F,-2.86256
170,1.90654,F,-3.63027
171,1.90653,F,-3.61533
172,1.94872,F,-3.1643999999999997
173,1.94871,F,-3.1227600000000004
174,1.96702,F,-2.86298
175,1.88334,F,-3.87601
176,1.88334,F,-3.8468
177,1.94782,F,-3.1639
178,1.9478,F,-3.1337
179,1.96991,F,-2.8628299999999998
180,2.06471,F,-2.3075
181,2.06471,F,-2.3269599999999997
182,1.94427,F,-3.10927
183,1.94427,F,-3.12617
184,2.08752,F,-2.14102
185,2.08752,F,-2.1741
186,2.06471,F,-2.30728
187,2.06471,F,-2.3266799999999996
188,1.94426,F,-3.1243600000000002
189,1.94427,F,-3.11063
190,2.08752,F,-2.14245
191,2.08752,F,-2.1720800000000002
