ppm (expt), data (expt), ppm (sim), data (sim)
-604.657,3.11E-15,602.62,0.1767
-604.308,4.25E-16,602.566,0.1679
-603.96,-8.61E-17,602.512,0.1585
-603.612,2.12E-15,602.458,0.1486
-603.263,6.20E-15,602.404,0.1381
-602.915,2.87E-15,602.35,0.1272
-602.567,6.31E-15,602.296,0.1158
-602.218,1.38E-15,602.242,0.104
-601.87,-3.78E-15,602.188,0.0919
-601.522,-2.39E-15,602.134,0.0795
-601.174,-4.31E-15,602.08,0.0669
-600.825,-5.57E-15,602.026,0.0542
-600.477,-4.22E-15,601.972,0.0413
-600.129,4.37E-15,601.918,0.0283
-599.78,1.55E-15,601.864,0.0154
-599.432,3.60E-16,601.81,2.51E-03
-599.084,5.86E-16,601.756,-0.0102
-598.735,2.61E-16,601.702,-0.0228
-598.387,-2.85E-15,601.648,-0.0351
-598.039,-1.46E-15,601.594,-0.0471
-597.69,-4.10E-15,601.54,-0.0587
-597.342,5.39E-15,601.486,-0.0699
-596.994,4.69E-15,601.432,-0.0806
-596.646,-8.93E-16,601.378,-0.0909
-596.297,5.77E-16,601.324,-0.1005
-595.949,-1.18E-15,601.27,-0.1096
-595.601,-2.85E-16,601.216,-0.118
-595.252,5.22E-15,601.162,-0.1257
-594.904,-1.64E-15,601.108,-0.1328
-594.556,4.22E-15,601.053,-0.1391
-594.207,1.83E-15,600.999,-0.1446
-593.859,-1.07E-15,600.945,-0.1493
-593.511,3.09E-16,600.891,-0.1533
-593.163,1.45E-15,600.837,-0.1565
-592.814,3.28E-15,600.783,-0.1588
-592.466,7.51E-15,600.729,-0.1604
-592.118,5.14E-15,600.675,-0.1612
-591.769,3.93E-15,600.621,-0.1611
-591.421,-4.92E-16,600.567,-0.1604
-591.073,3.57E-15,600.513,-0.1588
-590.724,4.86E-15,600.459,-0.1565
-590.376,2.91E-15,600.405,-0.1536
-590.028,2.99E-15,600.351,-0.1499
-589.679,1.81E-15,600.297,-0.1456
-589.331,-2.84E-15,600.243,-0.1408
-588.983,4.03E-15,600.189,-0.1353
-588.635,4.10E-15,600.135,-0.1294
-588.286,-7.34E-16,600.081,-0.123
-587.938,2.58E-15,600.027,-0.1162
-587.59,1.56E-15,599.973,-0.1091
-587.241,4.64E-16,599.919,-0.1016
-586.893,4.31E-15,599.865,-0.0939
-586.545,1.59E-15,599.811,-0.0861
-586.196,2.82E-15,599.757,-0.078
-585.848,4.21E-15,599.703,-0.07
-585.5,2.38E-15,599.649,-0.0619
-585.152,2.43E-15,599.595,-0.0538
-584.803,2.70E-15,599.541,-0.0459
-584.455,2.82E-15,599.487,-0.0381
-584.107,1.18E-15,599.433,-0.0305
-583.758,1.84E-15,599.378,-0.0231
-583.41,3.07E-15,599.324,-0.0161
-583.062,3.56E-15,599.27,-9.44E-03
-582.713,2.90E-15,599.216,-3.17E-03
-582.365,4.07E-15,599.162,2.66E-03
-582.017,1.87E-15,599.108,8.00E-03
-581.668,3.53E-15,599.054,0.0128
-581.32,1.29E-15,599,0.0171
-580.972,1.75E-15,598.946,0.0209
-580.624,2.04E-15,598.892,0.024
-580.275,2.03E-15,598.838,0.0265
-579.927,1.66E-15,598.784,0.0284
-579.579,1.92E-15,598.73,0.0297
-579.23,2.18E-15,598.676,0.0303
-578.882,2.10E-15,598.622,0.0303
-578.534,2.74E-15,598.568,0.0297
-578.185,1.52E-15,598.514,0.0284
-577.837,2.99E-15,598.46,0.0265
-577.489,2.58E-15,598.406,0.0241
-577.141,2.95E-15,598.352,0.021
-576.792,2.49E-15,598.298,0.0174
-576.444,2.85E-15,598.244,0.0133
-576.096,5.97E-15,598.19,8.75E-03
-575.747,4.06E-15,598.136,3.72E-03
-575.399,3.17E-15,598.082,-1.72E-03
-575.051,3.60E-15,598.028,-7.52E-03
-574.702,3.51E-15,597.974,-0.0136
-574.354,4.66E-15,597.92,-0.02
-574.006,2.94E-15,597.866,-0.0266
-573.657,3.48E-15,597.812,-0.0334
-573.309,3.85E-15,597.757,-0.0403
-572.961,3.43E-15,597.703,-0.0473
-572.613,1.11E-15,597.649,-0.0543
-572.264,3.62E-15,597.595,-0.0612
-571.916,2.80E-15,597.541,-0.0681
-571.568,3.27E-15,597.487,-0.0748
-571.219,2.54E-15,597.433,-0.0813
-570.871,3.36E-15,597.379,-0.0875
-570.523,2.64E-15,597.325,-0.0934
-570.174,3.04E-15,597.271,-0.099
-569.826,2.53E-15,597.217,-0.1042
-569.478,1.62E-15,597.163,-0.1089
-569.13,2.13E-15,597.109,-0.1132
-568.781,1.92E-15,597.055,-0.1169
-568.433,2.51E-15,597.001,-0.1201
-568.085,3.36E-15,596.947,-0.1226
-567.736,1.71E-15,596.893,-0.1246
-567.388,7.89E-16,596.839,-0.1259
-567.04,6.93E-16,596.785,-0.1265
-566.691,1.38E-15,596.731,-0.1265
-566.343,1.80E-16,596.677,-0.1258
-565.995,1.53E-15,596.623,-0.1243
-565.646,1.66E-16,596.569,-0.1222
-565.298,2.45E-15,596.515,-0.1194
-564.95,1.30E-16,596.461,-0.1158
-564.602,5.13E-16,596.407,-0.1116
-564.253,1.29E-15,596.353,-0.1067
-563.905,6.02E-16,596.299,-0.1011
-563.557,7.23E-17,596.245,-0.0949
-563.208,5.46E-16,596.191,-0.0881
-562.86,4.95E-16,596.136,-0.0807
-562.512,3.43E-15,596.082,-0.0728
-562.163,1.78E-15,596.028,-0.0643
-561.815,1.87E-15,595.974,-0.0554
-561.467,1.73E-15,595.92,-0.046
-561.119,1.98E-15,595.866,-0.0363
-560.77,7.01E-16,595.812,-0.0262
-560.422,2.17E-15,595.758,-0.0158
-560.074,7.06E-16,595.704,-5.17E-03
-559.725,3.20E-15,595.65,5.63E-03
-559.377,5.07E-16,595.596,0.0166
-559.029,-4.66E-16,595.542,0.0276
-558.68,1.42E-15,595.488,0.0386
-558.332,2.02E-15,595.434,0.0497
-557.984,4.21E-16,595.38,0.0606
-557.635,1.16E-15,595.326,0.0714
-557.287,2.50E-15,595.272,0.082
-556.939,3.40E-15,595.218,0.0923
-556.591,2.30E-15,595.164,0.1024
-556.242,1.84E-15,595.11,0.1121
-555.894,1.43E-15,595.056,0.1214
-555.546,1.36E-15,595.002,0.1303
-555.197,1.82E-15,594.948,0.1387
-554.849,1.29E-15,594.894,0.1465
-554.501,6.75E-16,594.84,0.1539
-554.152,3.51E-15,594.786,0.1606
-553.804,2.30E-15,594.732,0.1667
-553.456,1.95E-15,594.678,0.1721
-553.108,2.62E-15,594.624,0.1769
-552.759,2.32E-15,594.57,0.181
-552.411,7.80E-16,594.516,0.1844
-552.063,8.08E-16,594.461,0.1871
-551.714,1.94E-15,594.407,0.189
-551.366,1.88E-15,594.353,0.1903
-551.018,2.20E-15,594.299,0.1907
-550.669,1.89E-15,594.245,0.1905
-550.321,1.21E-15,594.191,0.1896
-549.973,2.08E-15,594.137,0.1879
-549.624,1.56E-15,594.083,0.1856
-549.276,1.26E-15,594.029,0.1826
-548.928,2.43E-15,593.975,0.1789
-548.58,3.50E-15,593.921,0.1746
-548.231,2.79E-15,593.867,0.1698
-547.883,1.41E-15,593.813,0.1643
-547.535,2.03E-15,593.759,0.1584
-547.186,2.71E-15,593.705,0.1519
-546.838,2.53E-15,593.651,0.145
-546.49,1.21E-15,593.597,0.1377
-546.141,1.28E-15,593.543,0.13
-545.793,1.34E-15,593.489,0.1219
-545.445,9.43E-16,593.435,0.1136
-545.096,2.67E-15,593.381,0.1051
-544.748,3.36E-15,593.327,0.0964
-544.4,2.52E-15,593.273,0.0875
-544.052,2.80E-15,593.219,0.0785
-543.703,3.20E-15,593.165,0.0694
-543.355,3.08E-15,593.111,0.0604
-543.007,4.58E-15,593.057,0.0514
-542.658,4.18E-15,593.003,0.0424
-542.31,4.68E-15,592.949,0.0336
-541.962,4.02E-15,592.895,0.0249
-541.613,3.24E-15,592.84,0.0164
-541.265,2.24E-15,592.786,8.19E-03
-540.917,4.49E-15,592.732,2.13E-04
-540.569,3.08E-15,592.678,-7.47E-03
-540.22,3.87E-15,592.624,-0.0148
-539.872,3.13E-15,592.57,-0.0218
-539.524,4.77E-15,592.516,-0.0285
-539.175,3.74E-15,592.462,-0.0347
-538.827,3.47E-15,592.408,-0.0405
-538.479,4.86E-15,592.354,-0.0459
-538.13,5.19E-15,592.3,-0.0508
-537.782,4.46E-15,592.246,-0.0553
-537.434,2.70E-15,592.192,-0.0594
-537.085,4.83E-15,592.138,-0.063
-536.737,2.91E-15,592.084,-0.0661
-536.389,3.20E-15,592.03,-0.0687
-536.041,4.96E-15,591.976,-0.071
-535.692,3.24E-15,591.922,-0.0727
-535.344,1.13E-15,591.868,-0.0741
-534.996,3.24E-15,591.814,-0.075
-534.647,2.77E-15,591.76,-0.0756
-534.299,4.62E-15,591.706,-0.0757
-533.951,3.01E-15,591.652,-0.0755
-533.602,1.65E-15,591.598,-0.075
-533.254,5.03E-15,591.544,-0.0741
-532.906,2.82E-15,591.49,-0.073
-532.558,3.27E-15,591.436,-0.0716
-532.209,4.14E-15,591.382,-0.0699
-531.861,3.23E-15,591.328,-0.0681
-531.513,4.82E-15,591.274,-0.0661
-531.164,2.68E-15,591.22,-0.0639
-530.816,1.80E-15,591.165,-0.0616
-530.468,1.28E-15,591.111,-0.0593
-530.119,2.06E-15,591.057,-0.0568
-529.771,7.19E-16,591.003,-0.0544
-529.423,2.72E-15,590.949,-0.0519
-529.074,2.31E-15,590.895,-0.0495
-528.726,3.91E-15,590.841,-0.0471
-528.378,8.72E-16,590.787,-0.0448
-528.03,8.80E-16,590.733,-0.0426
-527.681,4.75E-15,590.679,-0.0406
-527.333,2.52E-15,590.625,-0.0386
-526.985,3.48E-15,590.571,-0.0369
-526.636,3.41E-15,590.517,-0.0353
-526.288,2.10E-15,590.463,-0.0339
-525.94,1.47E-15,590.409,-0.0328
-525.591,3.20E-15,590.355,-0.0318
-525.243,1.69E-15,590.301,-0.0311
-524.895,3.10E-15,590.247,-0.0306
-524.547,2.45E-15,590.193,-0.0304
-524.198,-1.45E-15,590.139,-0.0304
-523.85,5.91E-15,590.085,-0.0306
-523.502,1.13E-15,590.031,-0.0311
-523.153,1.14E-15,589.977,-0.0319
-522.805,4.86E-16,589.923,-0.0328
-522.457,8.56E-16,589.869,-0.034
-522.108,3.86E-15,589.815,-0.0354
-521.76,2.17E-16,589.761,-0.037
-521.412,2.29E-15,589.707,-0.0389
-521.063,1.49E-15,589.653,-0.0408
-520.715,-2.22E-15,589.599,-0.043
-520.367,4.38E-15,589.544,-0.0453
-520.019,2.27E-15,589.49,-0.0477
-519.67,5.04E-15,589.436,-0.0503
-519.322,-1.84E-15,589.382,-0.0529
-518.974,-3.71E-15,589.328,-0.0556
-518.625,2.31E-15,589.274,-0.0584
-518.277,2.33E-15,589.22,-0.0612
-517.929,7.36E-16,589.166,-0.064
-517.58,1.36E-15,589.112,-0.0668
-517.232,-1.29E-15,589.058,-0.0696
-516.884,2.35E-15,589.004,-0.0724
-516.536,-1.39E-15,588.95,-0.0751
-516.187,4.57E-15,588.896,-0.0777
-515.839,4.50E-15,588.842,-0.0803
-515.491,-4.20E-16,588.788,-0.0827
-515.142,4.71E-15,588.734,-0.085
-514.794,-6.99E-16,588.68,-0.0872
-514.446,1.52E-15,588.626,-0.0892
-514.097,-6.85E-15,588.572,-0.0911
-513.749,-1.82E-15,588.518,-0.0928
-513.401,4.83E-15,588.464,-0.0944
-513.052,4.48E-15,588.41,-0.0957
-512.704,-2.22E-15,588.356,-0.0969
-512.356,2.97E-16,588.302,-0.098
-512.008,3.89E-15,588.248,-0.0988
-511.659,-9.32E-16,588.194,-0.0995
-511.311,-1.06E-15,588.14,-0.1
-510.963,9.37E-16,588.086,-0.1004
-510.614,-1.15E-15,588.032,-0.1006
-510.266,-1.13E-15,587.978,-0.1006
-509.918,-2.45E-15,587.923,-0.1005
-509.569,-2.56E-15,587.869,-0.1003
-509.221,-1.91E-15,587.815,-0.0999
-508.873,1.56E-15,587.761,-0.0995
-508.525,2.01E-16,587.707,-0.0989
-508.176,-2.60E-16,587.653,-0.0983
-507.828,7.01E-15,587.599,-0.0977
-507.48,1.97E-14,587.545,-0.097
-507.131,4.59E-14,587.491,-0.0962
-506.783,8.70E-14,587.437,-0.0955
-506.435,1.75E-13,587.383,-0.0948
-506.086,3.54E-13,587.329,-0.0941
-505.738,7.08E-13,587.275,-0.0934
-505.39,1.41E-12,587.221,-0.0928
-505.041,2.75E-12,587.167,-0.0923
-504.693,5.32E-12,587.113,-0.0919
-504.345,1.02E-11,587.059,-0.0915
-503.997,1.95E-11,587.005,-0.0913
-503.648,3.67E-11,586.951,-0.0913
-503.3,6.86E-11,586.897,-0.0913
-502.952,1.27E-10,586.843,-0.0915
-502.603,2.33E-10,586.789,-0.0919
-502.255,4.22E-10,586.735,-0.0925
-501.907,7.59E-10,586.681,-0.0932
-501.558,1.35E-09,586.627,-0.0941
-501.21,2.38E-09,586.573,-0.0951
-500.862,4.16E-09,586.519,-0.0963
-500.514,7.21E-09,586.465,-0.0977
-500.165,1.24E-08,586.411,-0.0993
-499.817,2.10E-08,586.357,-0.101
-499.469,3.53E-08,586.303,-0.1029
-499.12,5.87E-08,586.248,-0.1049
-498.772,9.69E-08,586.194,-0.107
-498.424,1.58E-07,586.14,-0.1093
-498.075,2.56E-07,586.086,-0.1116
-497.727,4.11E-07,586.032,-0.114
-497.379,6.53E-07,585.978,-0.1165
-497.03,1.03E-06,585.924,-0.119
-496.682,1.60E-06,585.87,-0.1215
-496.334,2.47E-06,585.816,-0.124
-495.986,3.77E-06,585.762,-0.1265
-495.637,5.72E-06,585.708,-0.1289
-495.289,8.57E-06,585.654,-0.1312
-494.941,1.27E-05,585.6,-0.1334
-494.592,1.87E-05,585.546,-0.1355
-494.244,2.73E-05,585.492,-0.1373
-493.896,3.94E-05,585.438,-0.139
-493.547,5.64E-05,585.384,-0.1405
-493.199,7.99E-05,585.33,-0.1417
-492.851,1.12E-04,585.276,-0.1426
-492.503,1.56E-04,585.222,-0.1432
-492.154,2.14E-04,585.168,-0.1435
-491.806,2.92E-04,585.114,-0.1434
-491.458,3.95E-04,585.06,-0.1429
-491.109,5.28E-04,585.006,-0.1421
-490.761,7.00E-04,584.952,-0.1408
-490.413,9.20E-04,584.898,-0.139
-490.064,1.20E-03,584.844,-0.1368
-489.716,1.54E-03,584.79,-0.1341
-489.368,1.97E-03,584.736,-0.131
-489.019,2.49E-03,584.682,-0.1273
-488.671,3.11E-03,584.627,-0.1232
-488.323,3.86E-03,584.573,-0.1185
-487.975,4.75E-03,584.519,-0.1133
-487.626,5.78E-03,584.465,-0.1076
-487.278,6.98E-03,584.411,-0.1014
-486.93,8.35E-03,584.357,-0.0948
-486.581,9.89E-03,584.303,-0.0876
-486.233,0.0116,584.249,-0.0799
-485.885,0.0135,584.195,-0.0718
-485.536,0.0156,584.141,-0.0632
-485.188,0.0178,584.087,-0.0543
-484.84,0.0202,584.033,-0.0449
-484.492,0.0228,583.979,-0.0351
-484.143,0.0254,583.925,-0.025
-483.795,0.0282,583.871,-0.0146
-483.447,0.031,583.817,-3.88E-03
-483.098,0.0338,583.763,7.08E-03
-482.75,0.0366,583.709,0.0182
-482.402,0.0395,583.655,0.0296
-482.053,0.0423,583.601,0.0411
-481.705,0.0451,583.547,0.0526
-481.357,0.0478,583.493,0.0642
-481.008,0.0506,583.439,0.0758
-480.66,0.0533,583.385,0.0874
-480.312,0.056,583.331,0.0989
-479.964,0.0587,583.277,0.1102
-479.615,0.0614,583.223,0.1214
-479.267,0.0642,583.169,0.1323
-478.919,0.0671,583.115,0.143
-478.57,0.0701,583.061,0.1533
-478.222,0.0732,583.007,0.1633
-477.874,0.0764,582.952,0.1729
-477.525,0.0797,582.898,0.182
-477.177,0.0832,582.844,0.1906
-476.829,0.0867,582.79,0.1988
-476.481,0.0903,582.736,0.2063
-476.132,0.094,582.682,0.2132
-475.784,0.0976,582.628,0.2196
-475.436,0.1013,582.574,0.2252
-475.087,0.1049,582.52,0.2302
-474.739,0.1084,582.466,0.2344
-474.391,0.1119,582.412,0.2379
-474.042,0.1154,582.358,0.2406
-473.694,0.1188,582.304,0.2426
-473.346,0.1222,582.25,0.2438
-472.997,0.1257,582.196,0.2441
-472.649,0.1293,582.142,0.2437
-472.301,0.1331,582.088,0.2425
-471.953,0.137,582.034,0.2404
-471.604,0.1413,581.98,0.2376
-471.256,0.1459,581.926,0.2339
-470.908,0.1509,581.872,0.2295
-470.559,0.1564,581.818,0.2243
-470.211,0.1624,581.764,0.2183
-469.863,0.1689,581.71,0.2116
-469.514,0.176,581.656,0.2041
-469.166,0.1835,581.602,0.196
-468.818,0.1916,581.548,0.1872
-468.47,0.2002,581.494,0.1778
-468.121,0.2091,581.44,0.1678
-467.773,0.2185,581.386,0.1572
-467.425,0.2282,581.331,0.1461
